CatNum	LaunYr	LaunNum	Source	Inc
3	1957	2	CIS	65.3
2	1957	1	CIS	65
1	1957	1	CIS	65.1
1576	1958	2	US	34.2
111	1958	8	US	INITIAL
110	1958	7	US	INITIAL
16	1958	2	US	34.3
10	1958	6	US	32.3
9	1958	5	US	50.2
8	1958	4	CIS	65.1
7	1958	4	CIS	65.1
6	1958	3	US	33.5
5	1958	2	US	34.2
4	1958	1	US	33.1
31405	1959	7	US	33.3
29005	1959	7	US	33.3
14934	1959	1	US	32.8
5807	1959	1	US	32.9
114	1959	14	CIS	IMPACT
113	1959	13	US	ORBIT
112	1959	12	CIS	ORBIT
26	1959	5	US	78.9
25	1959	11	US	80.7
24	1959	10	US	81.6
23	1959	9	US	50.3
22	1959	9	US	50.3
21	1959	8	CIS	55
20	1959	7	US	33.4
19	1959	6	US	84
18	1959	5	US	80
17	1959	4	US	47.1
15	1959	4	US	47
14	1959	3	US	89.9
13	1959	2	US	90
12	1959	1	US	32.9
11	1959	1	US	32.9
5922	1960	16	US	47
841	1960	7	US	66.6
840	1960	7	US	66.6
115	1960	2	US	48.2
105	1960	14	US	50.4
101	1960	2	US	48.5
99	1960	3	US	51.3
75	1960	16	US	48.5
74	1960	16	US	48.5
69	1960	14	US	49.3
68	1960	19	US	83.4
67	1960	18	US	81.5
66	1960	17	CIS	65
65	1960	17	CIS	65
64	1960	16	US	48.5
63	1960	16	US	48.5
62	1960	14	US	49.9
61	1960	15	US	81.9
60	1960	14	US	49.9
59	1960	13	US	28.2
58	1960	13	US	28.3
57	1960	12	US	80.9
56	1960	11	CIS	64.9
55	1960	11	CIS	64.9
54	1960	10	US	79.7
53	1960	9	US	47.3
52	1960	9	US	47.4
51	1960	9	US	47.2
50	1960	9	US	47.2
49	1960	9	US	47.2
48	1960	8	US	82.8
47	1960	7	US	66.7
46	1960	7	US	66.7
45	1960	7	US	66.7
44	1960	6	US	33
43	1960	6	US	33
42	1960	5	CIS	64.9
41	1960	5	CIS	64.9
40	1960	5	CIS	64.9
39	1960	5	CIS	64.9
38	1960	5	CIS	64.9
37	1960	5	CIS	64.9
36	1960	5	CIS	65
35	1960	5	CIS	64.9
34	1960	5	CIS	65
33	1960	3	US	51.3
32	1960	4	US	80.1
31	1960	3	US	51.2
30	1960	3	US	51.2
29	1960	2	US	48.4
28	1960	2	US	48.3
27	1960	1	US	ORBIT
29255	1961	28	US	95.9
27478	1961	28	US	95.9
25793	1961	18	US	91.2
23933	1961	28	US	95.9
21986	1961	15	US	66.9
21970	1961	15	US	66
20174	1961	15	US	67.1
19961	1961	15	US	65.6
19639	1961	15	US	66.5
19482	1961	15	US	66.3
19430	1961	15	US	66.6
19428	1961	15	US	66.7
19304	1961	15	US	67
19302	1961	15	US	66.8
19300	1961	15	US	66.8
19293	1961	15	US	67
19031	1961	15	US	67.1
18908	1961	15	US	65.7
18890	1961	15	US	66
18651	1961	15	US	65.7
18564	1961	15	US	62.7
18503	1961	15	US	67
18498	1961	15	US	66.2
17714	1961	15	US	67.1
17713	1961	15	US	66.2
17712	1961	15	US	66.2
17711	1961	15	US	65.7
17653	1961	15	US	66.4
17650	1961	15	US	65.9
17649	1961	15	US	66.6
17648	1961	15	US	65.7
15783	1961	15	US	67
15760	1961	15	US	62.8
15558	1961	15	US	65.6
15339	1961	15	US	66.7
14959	1961	15	US	66.8
14500	1961	15	US	66.6
14499	1961	15	US	66.2
13942	1961	15	US	65.9
13941	1961	15	US	66.7
13514	1961	15	US	66.7
13513	1961	15	US	65.7
13512	1961	15	US	65.5
13511	1961	15	US	65.8
13502	1961	15	US	66.5
13364	1961	15	US	66.3
10796	1961	31	US	32.4
9969	1961	15	US	65.2
9968	1961	15	US	66.5
6842	1961	15	US	66.7
6748	1961	15	US	66.9
6747	1961	15	US	66.6
6746	1961	15	US	66.6
6215	1961	18	US	91.2
6179	1961	15	US	66.7
5985	1961	15	US	66.7
5972	1961	15	US	68.3
5877	1961	15	US	66.7
5876	1961	15	US	65.7
5826	1961	15	US	66.7
5809	1961	15	US	66.8
5808	1961	15	US	66.6
5787	1961	15	US	67.1
5786	1961	15	US	67.1
5785	1961	15	US	65.6
5784	1961	15	US	66.9
5748	1961	15	US	67.6
5747	1961	15	US	66.8
5746	1961	15	US	66.3
5745	1961	15	US	67.1
5716	1961	15	US	66.7
5715	1961	15	US	66.6
5237	1961	4	US	38.9
4029	1961	15	US	66.9
4028	1961	15	US	66.8
4027	1961	15	US	64.5
4026	1961	4	US	38.8
4015	1961	15	US	66.4
4014	1961	15	US	67.6
4006	1961	15	US	68
4005	1961	15	US	66.8
3969	1961	15	US	64.9
3968	1961	15	US	65.6
3932	1961	15	US	65.8
3927	1961	4	US	38.9
3842	1961	15	US	66.7
3752	1961	15	US	67.6
3748	1961	15	US	67.8
3744	1961	15	US	67
3740	1961	15	US	66.3
3739	1961	13	US	28.8
3738	1961	4	US	38.8
3176	1961	15	US	66.6
3164	1961	15	US	66.8
3125	1961	15	US	67.6
3124	1961	15	US	67
3037	1961	15	US	67.5
2371	1961	28	US	95.8
2087	1961	15	US	65.7
2010	1961	15	US	66.4
2009	1961	28	US	95.8
1943	1961	15	US	66.9
1942	1961	15	US	67.3
1501	1961	15	US	66.3
1500	1961	15	US	66.7
662	1961	15	US	66.7
661	1961	15	US	66.9
660	1961	15	US	66.5
659	1961	15	US	67.2
658	1961	15	US	65.9
657	1961	15	US	66.2
656	1961	15	US	66.3
655	1961	15	US	67.3
654	1961	15	US	67.3
653	1961	15	US	67.5
652	1961	15	US	66.7
651	1961	15	US	66.8
